date,nav
20080319,1.0
20080320,1.0
20080321,1.0
20080324,1.0
20080325,1.0
20080326,1.0
20080327,1.0
20080328,1.001
20080331,1.001
20080401,1.001
20080402,1.001
20080403,1.001
20080407,1.001
20080408,1.001
20080409,1.001
20080410,1.001
20080411,1.001
20080414,1.001
20080415,1.001
20080416,1.001
20080417,1.001
20080418,1.002
20080421,1.002
20080422,1.002
20080423,1.002
20080424,1.002
20080425,1.005
20080428,1.005
20080429,1.005
20080430,1.006
20080505,1.006
20080506,1.006
20080507,1.005
20080508,1.005
20080509,1.006
20080512,1.005
20080513,1.005
20080514,1.006
20080515,1.006
20080516,1.007
20080519,1.007
20080520,1.006
20080521,1.007
20080522,1.007
20080523,1.007
20080526,1.007
20080527,1.007
20080528,1.009
20080529,1.01
20080530,1.01
20080602,1.01
20080603,1.01
20080604,1.01
20080605,1.01
20080606,1.01
20080610,1.008
20080611,1.007
20080612,1.007
20080613,1.007
20080616,1.007
20080617,1.007
20080618,1.007
20080619,1.007
20080620,1.007
20080623,1.007
20080624,1.007
20080625,1.007
20080626,1.007
20080627,1.006
20080630,1.006
20080701,1.006
20080702,1.006
20080703,1.005
20080704,1.005
20080707,1.005
20080708,1.005
20080709,1.006
20080710,1.007
20080711,1.006
20080714,1.007
20080715,1.006
20080716,1.006
20080717,1.006
20080718,1.007
20080721,1.007
20080722,1.008
20080723,1.008
20080724,1.008
20080725,1.008
20080728,1.009
20080729,1.008
20080730,1.009
20080731,1.008
20080801,1.008
20080804,1.008
20080805,1.007
20080806,1.007
20080807,1.007
20080808,1.008
20080811,1.007
20080812,1.008
20080813,1.008
20080814,1.009
20080815,1.009
20080818,1.011
20080819,1.013
20080820,1.013
20080821,1.013
20080822,1.013
20080825,1.013
20080826,1.013
20080827,1.014
20080828,1.015
20080829,1.017
20080901,1.019
20080902,1.02
20080903,1.02
20080904,1.021
20080905,1.021
20080908,1.023
20080909,1.024
20080910,1.026
20080911,1.026
20080912,1.029
20080916,1.038
20080917,1.045
20080918,1.043
20080919,1.042
20080922,1.042
20080923,1.042
20080924,1.044
20080925,1.045
20080926,1.045
20080930,1.045
20081006,1.045
20081007,1.05
20081008,1.057
20081009,1.064
20081010,1.065
20081013,1.064
20081014,1.064
20081015,1.064
20081016,1.065
20081017,1.062
20081020,1.059
20081021,1.06
20081022,1.061
20081023,1.058
20081024,1.058
20081027,1.054
20081028,1.054
20081029,1.058
20081030,1.06
20081031,1.059
20081103,1.058
20081104,1.06
20081105,1.061
20081106,1.065
20081107,1.067
20081110,1.071
20081111,1.072
20081112,1.075
20081113,1.08
20081114,1.075
20081117,1.074
20081118,1.072
20081119,1.069
20081120,1.068
20081121,1.069
20081124,1.067
20081125,1.064
20081126,1.065
20081127,1.07
20081128,1.068
20081201,1.068
20081202,1.07
20081203,1.072
20081204,1.074
20081205,1.079
20081208,1.08
20081209,1.075
20081210,1.076
20081211,1.079
20081212,1.083
20081215,1.085
20081216,1.088
20081217,1.094
20081218,1.099
20081219,1.103
20081222,1.105
20081223,1.106
20081224,1.105
20081225,1.103
20081226,1.102
20081229,1.103
20081230,1.103
20081231,1.104
20090105,1.107
20090106,1.109
20090107,1.111
20090108,1.112
20090109,1.114
20090112,1.113
20090113,1.108
20090114,1.105
20090115,1.1
20090116,1.096
20090119,1.093
20090120,1.088
20090121,1.086
20090122,1.09
20090123,1.092
20090202,1.091
20090203,1.087
20090204,1.082
20090205,1.078
20090206,1.081
20090209,1.082
20090210,1.082
20090211,1.085
20090212,1.088
20090213,1.089
20090216,1.089
20090217,1.086
20090218,1.087
20090219,1.09
20090220,1.09
20090223,1.091
20090224,1.093
20090225,1.094
20090226,1.094
20090227,1.092
20090302,1.091
20090303,1.092
20090304,1.091
20090305,1.091
20090306,1.092
20090309,1.092
20090310,1.093
20090311,1.095
20090312,1.095
20090313,1.095
20090316,1.095
20090317,1.095
20090318,1.095
20090319,1.095
20090320,1.095
20090323,1.094
20090324,1.093
20090325,1.093
20090326,1.093
20090327,1.091
20090330,1.091
20090331,1.092
20090401,1.092
20090402,1.092
20090403,1.09
20090407,1.09
20090408,1.087
20090409,1.087
20090410,1.087
20090413,1.086
20090414,1.087
20090415,1.088
20090416,1.088
20090417,1.088
20090420,1.09
20090421,1.089
20090422,1.088
20090423,1.088
20090424,1.088
20090427,1.086
20090428,1.086
20090429,1.088
20090430,1.092
20090504,1.094
20090505,1.095
20090506,1.095
20090507,1.097
20090508,1.096
20090511,1.096
20090512,1.096
20090513,1.099
20090514,1.098
20090515,1.099
20090518,1.099
20090519,1.1
20090520,1.101
20090521,1.096
20090522,1.095
20090525,1.095
20090526,1.095
20090527,1.097
20090601,1.098
20090602,1.098
20090603,1.098
20090604,1.097
20090605,1.098
20090608,1.095
20090609,1.094
20090610,1.099
20090611,1.096
20090612,1.092
20090615,1.092
20090616,1.09
20090617,1.092
20090618,1.094
20090619,1.095
20090622,1.094
20090623,1.095
20090624,1.101
20090625,1.1
20090626,1.1
20090629,1.101
20090630,1.099
20090701,1.102
20090702,1.105
20090703,1.106
20090706,1.111
20090707,1.111
20090708,1.11
20090709,1.113
20090710,1.117
20090713,1.118
20090714,1.121
20090715,1.121
20090716,1.121
20090717,1.122
20090720,1.127
20090721,1.122
20090722,1.128
20090723,1.128
20090724,1.127
20090727,1.135
20090728,1.137
20090729,1.134
20090730,1.133
20090731,1.141
20090803,1.147
20090804,1.152
20090805,1.15
20090806,1.138
20090807,1.126
20090810,1.125
20090811,1.124
20090812,1.112
20090813,1.113
20090814,1.107
20090817,1.097
20090818,1.103
20090819,1.096
20090820,1.104
20090821,1.108
20090824,1.11
20090825,1.104
20090826,1.109
20090827,1.109
20090828,1.105
20090831,1.094
20090901,1.095
20090902,1.096
20090903,1.105
20090904,1.108
20090907,1.108
20090908,1.112
20090909,1.118
20090910,1.116
20090911,1.119
20090914,1.123
20090915,1.125
20090916,1.123
20090917,1.127
20090918,1.119
20090921,1.119
20090922,1.112
20090923,1.106
20090924,1.103
20090925,1.102
20090928,1.098
20090929,1.096
20090930,1.098
20091009,1.107
20091012,1.105
20091013,1.107
20091014,1.111
20091015,1.113
20091016,1.112
20091019,1.116
20091020,1.119
20091021,1.118
20091022,1.118
20091023,1.122
20091026,1.121
20091027,1.115
20091028,1.12
20091029,1.113
20091030,1.123
20091102,1.131
20091103,1.136
20091104,1.143
20091105,1.154
20091106,1.153
20091109,1.154
20091110,1.163
20091111,1.158
20091112,1.159
20091113,1.161
20091116,1.165
20091117,1.166
20091118,1.168
20091119,1.171
20091120,1.168
20091123,1.173
20091124,1.164
20091125,1.168
20091126,1.157
20091127,1.155
20091130,1.163
20091201,1.171
20091202,1.173
20091203,1.174
20091204,1.167
20091207,1.171
20091208,1.171
20091209,1.169
20091210,1.169
20091211,1.17
20091214,1.168
20091215,1.17
20091216,1.168
20091217,1.163
20091218,1.16
20091221,1.159
20091222,1.159
20091223,1.163
20091224,1.17
20091225,1.173
20091228,1.176
20091229,1.178
20091230,1.176
20091231,1.18
20100104,1.179
20100105,1.179
20100106,1.18
20100107,1.175
20100108,1.174
20100111,1.174
20100112,1.182
20100113,1.183
20100114,1.194
20100115,1.194
20100118,1.196
20100119,1.194
20100120,1.189
20100121,1.188
20100122,1.184
20100125,1.178
20100126,1.174
20100127,1.178
20100128,1.18
20100129,1.181
20100201,1.178
20100202,1.178
20100203,1.176
20100204,1.175
20100205,1.174
20100208,1.173
20100209,1.173
20100210,1.175
20100211,1.177
20100212,1.18
20100222,1.179
20100223,1.18
20100224,1.183
20100225,1.186
20100226,1.187
20100301,1.189
20100302,1.189
20100303,1.19
20100304,1.184
20100305,1.187
20100308,1.189
20100309,1.189
20100310,1.188
20100311,1.188
20100312,1.186
20100315,1.184
20100316,1.184
20100317,1.189
20100318,1.188
20100319,1.19
20100322,1.19
20100323,1.193
20100324,1.195
20100325,1.195
20100326,1.197
20100329,1.198
20100330,1.199
20100331,1.2
20100401,1.204
20100402,1.207
20100406,1.209
20100407,1.209
20100408,1.209
20100409,1.214
20100412,1.217
20100413,1.218
20100414,1.218
20100415,1.214
20100416,1.212
20100419,1.208
20100420,1.212
20100421,1.22
20100422,1.225
20100423,1.223
20100426,1.222
20100427,1.219
20100428,1.219
20100429,1.215
20100430,1.21
20100504,1.21
20100505,1.215
20100506,1.211
20100507,1.209
20100510,1.204
20100511,1.2
20100512,1.196
20100513,1.201
20100514,1.203
20100517,1.197
20100518,1.198
20100519,1.202
20100520,1.199
20100521,1.202
20100524,1.209
20100525,1.21
20100526,1.208
20100527,1.211
20100528,1.211
20100531,1.208
20100601,1.206
20100602,1.208
20100603,1.209
20100604,1.211
20100607,1.215
20100608,1.215
20100609,1.216
20100610,1.218
20100611,1.219
20100617,1.212
20100618,1.204
20100621,1.206
20100622,1.207
20100623,1.207
20100624,1.208
20100625,1.207
20100628,1.206
20100629,1.201
20100630,1.202
20100701,1.201
20100702,1.2
20100705,1.2
20100706,1.204
20100707,1.207
20100708,1.208
20100709,1.21
20100712,1.211
20100713,1.212
20100714,1.212
20100715,1.212
20100716,1.215
20100719,1.216
20100720,1.218
20100721,1.218
20100722,1.219
20100723,1.22
20100726,1.222
20100727,1.222
20100728,1.227
20100729,1.227
20100730,1.228
20100802,1.23
20100803,1.228
20100804,1.229
20100805,1.231
20100806,1.234
20100809,1.239
20100810,1.235
20100811,1.238
20100812,1.244
20100813,1.247
20100816,1.252
20100817,1.255
20100818,1.255
20100819,1.256
20100820,1.254
20100823,1.256
20100824,1.256
20100825,1.255
20100826,1.255
20100827,1.259
20100830,1.266
20100831,1.27
20100901,1.268
20100902,1.277
20100903,1.281
20100906,1.28
20100907,1.281
20100908,1.285
20100909,1.283
20100910,1.284
20100913,1.285
20100914,1.285
20100915,1.28
20100916,1.276
20100917,1.278
20100920,1.276
20100921,1.275
20100927,1.279
20100928,1.278
20100929,1.276
20100930,1.28
20101008,1.286
20101011,1.287
20101012,1.289
20101013,1.29
20101014,1.292
20101015,1.298
20101018,1.3
20101019,1.304
20101020,1.3
20101021,1.297
20101022,1.298
20101025,1.306
20101026,1.305
20101027,1.303
20101028,1.303
20101029,1.303
20101101,1.312
20101102,1.311
20101103,1.305
20101104,1.309
20101105,1.318
20101108,1.319
20101109,1.316
20101110,1.315
20101111,1.316
20101112,1.307
20101115,1.308
20101116,1.299
20101117,1.294
20101118,1.297
20101119,1.299
20101122,1.297
20101123,1.289
20101124,1.291
20101125,1.295
20101126,1.293
20101129,1.291
20101130,1.294
20101201,1.294
20101202,1.296
20101203,1.295
20101206,1.308
20101207,1.307
20101208,1.306
20101209,1.304
20101210,1.305
20101213,1.313
20101214,1.314
20101215,1.311
20101216,1.312
20101217,1.315
20101220,1.312
20101221,1.315
20101222,1.313
20101223,1.309
20101224,1.309
20101227,1.305
20101228,1.3
20101229,1.301
20101230,1.304
20101231,1.31
20110104,1.317
20110105,1.318
20110106,1.317
20110107,1.321
20110110,1.319
20110111,1.317
20110112,1.317
20110113,1.316
20110114,1.313
20110117,1.308
20110118,1.308
20110119,1.31
20110120,1.308
20110121,1.308
20110124,1.306
20110125,1.305
20110126,1.307
20110127,1.311
20110128,1.312
20110131,1.315
20110201,1.317
20110209,1.315
20110210,1.316
20110211,1.318
20110214,1.321
20110215,1.321
20110216,1.322
20110217,1.324
20110218,1.321
20110221,1.321
20110222,1.317
20110223,1.316
20110224,1.318
20110225,1.318
20110228,1.32
20110301,1.321
20110302,1.321
20110303,1.32
20110304,1.321
20110307,1.324
20110308,1.322
20110309,1.324
