净值日期,累计净值
2008-12-29,1.0
2008-12-31,1.0
2009-01-09,1.0
2009-01-16,1.0
2009-01-22,1.0
2009-01-23,1.001
2009-02-02,1.001
2009-02-03,1.001
2009-02-04,1.0
2009-02-05,1.0
2009-02-06,1.0
2009-02-09,1.0
2009-02-10,1.001
2009-02-11,1.002
2009-02-12,1.002
2009-02-13,1.002
2009-02-16,1.002
2009-02-17,1.002
2009-02-18,1.003
2009-02-19,1.003
2009-02-20,1.004
2009-02-23,1.004
2009-02-24,1.005
2009-02-25,1.005
2009-02-26,1.005
2009-02-27,1.004
2009-03-02,1.004
2009-03-03,1.005
2009-03-04,1.004
2009-03-05,1.005
2009-03-06,1.005
2009-03-09,1.006
2009-03-10,1.006
2009-03-11,1.007
2009-03-12,1.007
2009-03-13,1.008
2009-03-16,1.009
2009-03-17,1.008
2009-03-18,1.007
2009-03-19,1.009
2009-03-20,1.008
2009-03-23,1.008
2009-03-24,1.009
2009-03-25,1.007
2009-03-26,1.008
2009-03-27,1.008
2009-03-30,1.01
2009-03-31,1.013
2009-04-01,1.015
2009-04-02,1.017
2009-04-03,1.015
2009-04-07,1.015
2009-04-08,1.014
2009-04-09,1.014
2009-04-10,1.017
2009-04-13,1.02
2009-04-14,1.02
2009-04-15,1.021
2009-04-16,1.022
2009-04-17,1.02
2009-04-20,1.02
2009-04-21,1.019
2009-04-22,1.016
2009-04-23,1.017
2009-04-24,1.017
2009-04-27,1.015
2009-04-28,1.015
2009-04-29,1.016
2009-04-30,1.016
2009-05-04,1.019
2009-05-05,1.02
2009-05-06,1.023
2009-05-07,1.024
2009-05-08,1.026
2009-05-11,1.019
2009-05-12,1.025
2009-05-13,1.027
2009-05-14,1.026
2009-05-15,1.026
2009-05-18,1.029
2009-05-19,1.032
2009-05-20,1.031
2009-05-21,1.026
2009-05-22,1.025
2009-05-25,1.024
2009-05-26,1.023
2009-05-27,1.024
2009-06-01,1.027
2009-06-02,1.027
2009-06-03,1.032
2009-06-04,1.032
2009-06-05,1.03
2009-06-08,1.03
2009-06-09,1.03
2009-06-10,1.031
2009-06-11,1.028
2009-06-12,1.026
2009-06-15,1.026
2009-06-16,1.028
2009-06-17,1.031
2009-06-18,1.033
2009-06-19,1.033
2009-06-22,1.031
2009-06-23,1.029
2009-06-24,1.03
2009-06-25,1.03
2009-06-26,1.03
2009-06-29,1.032
2009-06-30,1.032
2009-07-01,1.036
2009-07-02,1.037
2009-07-03,1.041
2009-07-06,1.042
2009-07-07,1.038
2009-07-08,1.042
2009-07-09,1.042
2009-07-10,1.046
2009-07-13,1.044
2009-07-14,1.048
2009-07-15,1.046
2009-07-16,1.046
2009-07-17,1.047
2009-07-20,1.049
2009-07-21,1.048
2009-07-22,1.051
2009-07-23,1.058
2009-07-24,1.06
2009-07-27,1.064
2009-07-28,1.065
2009-07-29,1.049
2009-07-30,1.048
2009-07-31,1.054
2009-08-03,1.054
2009-08-04,1.056
2009-08-05,1.053
2009-08-06,1.052
2009-08-07,1.042
2009-08-10,1.039
2009-08-11,1.04
2009-08-12,1.037
2009-08-13,1.039
2009-08-14,1.037
2009-08-17,1.031
2009-08-18,1.032
2009-08-19,1.025
2009-08-20,1.026
2009-08-21,1.028
2009-08-24,1.03
2009-08-25,1.027
2009-08-26,1.026
2009-08-27,1.026
2009-08-28,1.02
2009-08-31,1.008
2009-09-01,1.008
2009-09-02,1.007
2009-09-03,1.011
2009-09-04,1.012
2009-09-07,1.014
2009-09-08,1.016
2009-09-09,1.014
2009-09-10,1.012
2009-09-11,1.016
2009-09-14,1.021
2009-09-15,1.023
2009-09-16,1.02
2009-09-17,1.023
2009-09-18,1.016
2009-09-21,1.016
2009-09-22,1.01
2009-09-23,1.005
2009-09-24,1.003
2009-09-25,1.003
2009-09-28,1.004
2009-09-29,1.003
2009-09-30,1.004
2009-10-09,1.003
2009-10-12,1.003
2009-10-13,1.003
2009-10-14,1.002
2009-10-15,1.003
2009-10-16,1.003
2009-10-19,1.011
2009-10-20,1.011
2009-10-21,1.013
2009-10-22,1.012
2009-10-23,1.014
2009-10-26,1.013
2009-10-27,1.006
2009-10-28,1.005
2009-10-29,1.001
2009-10-30,1.002
2009-11-02,1.009
2009-11-03,1.011
2009-11-04,1.012
2009-11-05,1.013
2009-11-06,1.012
2009-11-09,1.014
2009-11-10,1.013
2009-11-11,1.016
2009-11-12,1.018
2009-11-13,1.021
2009-11-16,1.026
2009-11-17,1.026
2009-11-18,1.025
2009-11-19,1.028
2009-11-20,1.032
2009-11-23,1.035
2009-11-24,1.024
2009-11-25,1.03
2009-11-26,1.018
2009-11-27,1.016
2009-11-30,1.024
2009-12-01,1.029
2009-12-02,1.03
2009-12-03,1.031
2009-12-04,1.026
2009-12-07,1.029
2009-12-08,1.029
2009-12-09,1.027
2009-12-10,1.029
2009-12-11,1.029
2009-12-14,1.028
2009-12-15,1.028
2009-12-16,1.03
2009-12-17,1.024
2009-12-18,1.02
2009-12-21,1.022
2009-12-22,1.019
2009-12-23,1.024
2009-12-24,1.03
2009-12-25,1.032
2009-12-28,1.037
2009-12-29,1.035
2009-12-30,1.035
2009-12-31,1.037
2010-01-04,1.04
2010-01-05,1.043
2010-01-06,1.044
2010-01-07,1.04
2010-01-08,1.046
2010-01-11,1.05
2010-01-12,1.053
2010-01-13,1.056
2010-01-14,1.066
2010-01-15,1.067
2010-01-18,1.069
2010-01-19,1.068
2010-01-20,1.061
2010-01-21,1.063
2010-01-22,1.058
2010-01-25,1.057
2010-01-26,1.051
2010-01-27,1.052
2010-01-28,1.06
2010-01-29,1.064
2010-02-01,1.059
2010-02-02,1.057
2010-02-03,1.056
2010-02-04,1.06
2010-02-05,1.059
2010-02-08,1.058
2010-02-09,1.058
2010-02-10,1.062
2010-02-11,1.063
2010-02-12,1.066
2010-02-22,1.064
2010-02-23,1.066
2010-02-24,1.072
2010-02-25,1.076
2010-02-26,1.076
2010-03-01,1.077
2010-03-02,1.078
2010-03-03,1.081
2010-03-04,1.074
2010-03-05,1.073
2010-03-08,1.073
2010-03-09,1.073
2010-03-10,1.071
2010-03-11,1.07
2010-03-12,1.067
2010-03-15,1.064
