date,nav
20101217,468.85
20101220,467.83
20101221,468.99
20101222,467.94
20101223,465.76
20101224,463.45
20101227,460.8
20101228,459.45
20101229,460.95
20101230,462.1
20101231,464.98
20110104,467.29
20110105,467.22
20110106,466.55
20110107,466.19
20110110,463.94
20110111,463.24
20110112,463.38
20110113,463.27
20110114,460.9
20110117,456.94
20110118,456.84
20110119,458.99
20110120,455.85
20110121,455.75
20110124,453.54
20110125,453.21
20110126,454.43
20110127,455.72
20110128,456.46
20110131,457.78
20110201,458.26
20110209,456.88
20110210,458.84
20110211,459.45
20110214,461.9
20110215,461.86
20110216,463.03
20110217,463.32
20110218,461.77
20110221,463.1
20110222,460.73
20110223,461.29
20110224,461.97
20110225,461.76
20110228,463.02
20110301,463.02
20110302,462.89
20110303,461.58
20110304,462.6
20110307,464.2
20110308,464.31
20110309,465.03
20110310,464.15
20110311,463.58
20110314,464.12
20110315,462.78
20110316,464.15
20110317,462.84
20110318,463.46
20110321,462.66
20110322,463.03
20110323,464.02
20110324,464.1
20110325,465.25
20110328,464.71
20110329,463.42
20110330,462.81
20110331,462.09
20110401,463.14
20110406,462.92
20110407,463.28
20110408,464.81
20110411,464.69
20110412,464.54
20110413,465.93
20110414,466.0
20110415,465.99
20110418,466.51
20110419,464.8
20110420,465.01
20110421,465.86
20110422,465.67
20110425,463.75
20110426,462.77
20110427,462.21
20110428,459.97
20110429,461.33
20110503,462.27
20110504,460.21
20110505,460.58
20110506,460.79
20110509,461.16
20110510,461.9
20110511,462.09
20110512,461.35
20110513,461.57
20110516,461.23
20110517,461.07
20110518,461.74
20110519,461.45
20110520,461.29
20110523,458.64
20110524,458.67
20110525,457.61
20110526,457.12
20110527,456.68
20110530,456.29
20110531,457.39
20110601,457.94
20110602,456.7
20110603,457.52
20110607,457.74
20110608,457.55
20110609,455.63
20110610,455.62
20110613,455.48
20110614,456.22
20110615,455.03
20110616,453.57
20110617,453.14
20110620,452.49
20110621,453.3
20110622,453.11
20110623,454.35
20110624,456.02
20110627,456.52
20110628,456.26
20110629,455.1
20110630,456.17
20110701,456.67
20110704,458.37
20110705,458.35
20110706,458.18
20110707,458.0
20110708,458.07
20110711,458.32
20110712,457.5
20110713,458.38
20110714,458.47
20110715,459.48
20110718,459.05
20110719,457.61
20110720,456.55
20110721,455.18
20110722,455.62
20110725,453.28
20110726,453.41
20110727,454.28
20110728,453.8
20110729,453.02
20110801,452.65
20110802,451.87
20110803,451.46
20110804,451.84
20110805,451.26
20110808,449.29
20110809,449.74
20110810,450.98
20110811,453.31
20110812,453.95
20110815,455.03
20110816,454.57
20110817,454.12
20110818,452.47
20110819,451.59
20110822,450.78
20110823,451.89
20110824,451.9
20110825,453.36
20110826,453.4
20110829,449.02
20110830,447.61
20110831,447.37
20110901,446.64
20110902,444.19
20110905,440.97
20110906,439.99
20110907,442.07
20110908,441.52
20110909,441.15
20110913,440.06
20110914,440.72
20110915,440.68
20110916,440.41
20110919,438.8
20110920,438.88
20110921,440.4
20110922,437.81
20110923,436.48
20110926,434.59
20110927,434.76
20110928,433.63
20110929,431.14
20110930,432.46
20111010,432.74
20111011,432.46
20111012,435.37
20111013,437.23
20111014,437.8
20111017,439.45
20111018,437.85
20111019,438.03
20111020,437.24
20111021,438.43
20111024,440.12
20111025,441.61
20111026,442.69
20111027,441.88
20111028,443.91
20111031,445.08
20111101,446.13
20111102,448.01
20111103,448.28
20111104,449.07
20111107,448.97
20111108,448.8
20111109,450.14
