净值日期,累计净值
2009-06-10,1.0
2009-06-12,1.0
2009-06-19,1.0
2009-06-26,1.0
2009-06-30,1.0
2009-07-03,1.001
2009-07-06,1.001
2009-07-10,1.001
2009-07-13,0.999
2009-07-14,1.002
2009-07-15,1.002
2009-07-16,1.002
2009-07-17,1.001
2009-07-20,1.004
2009-07-21,1.004
2009-07-22,1.007
2009-07-23,1.009
2009-07-24,1.011
2009-07-27,1.016
2009-07-28,1.015
2009-07-29,1.005
2009-07-30,1.011
2009-07-31,1.015
2009-08-03,1.017
2009-08-04,1.014
2009-08-05,1.01
2009-08-06,1.007
2009-08-07,1.005
2009-08-10,1.002
2009-08-11,1.002
2009-08-12,0.994
2009-08-13,0.995
2009-08-14,0.991
2009-08-17,0.982
2009-08-18,0.982
2009-08-19,0.973
2009-08-20,0.982
2009-08-21,0.983
2009-08-24,0.983
2009-08-25,0.975
2009-08-26,0.978
2009-08-27,0.977
2009-08-28,0.974
2009-08-31,0.969
2009-09-01,0.97
2009-09-02,0.97
2009-09-03,0.97
2009-09-04,0.97
2009-09-07,0.97
2009-09-08,0.97
2009-09-09,0.97
2009-09-10,0.97
2009-09-11,0.971
2009-09-14,0.971
2009-09-15,0.971
2009-09-16,0.97
2009-09-17,0.971
2009-09-18,0.97
2009-09-21,0.97
2009-09-22,0.97
2009-09-23,0.97
2009-09-24,0.969
2009-09-25,0.968
2009-09-28,0.968
2009-09-29,0.967
2009-09-30,0.967
2009-10-09,0.968
2009-10-12,0.966
2009-10-13,0.965
2009-10-14,0.965
2009-10-15,0.965
2009-10-16,0.965
2009-10-19,0.965
2009-10-20,0.966
2009-10-21,0.966
2009-10-22,0.966
2009-10-23,0.966
2009-10-26,0.966
2009-10-27,0.965
2009-10-28,0.966
2009-10-29,0.965
2009-10-30,0.973
2009-11-02,0.975
2009-11-03,0.975
2009-11-04,0.977
2009-11-05,0.977
2009-11-06,0.979
2009-11-09,0.98
2009-11-10,0.979
2009-11-11,0.979
2009-11-12,0.981
2009-11-13,0.983
2009-11-16,0.987
2009-11-17,0.987
2009-11-18,0.988
2009-11-19,0.99
2009-11-20,0.991
2009-11-23,0.995
2009-11-24,0.988
2009-11-25,0.994
2009-11-26,0.987
2009-11-27,0.985
2009-11-30,0.993
2009-12-01,0.997
2009-12-02,1.0
2009-12-03,1.003
2009-12-04,0.998
2009-12-07,1.0
2009-12-08,1.0
2009-12-09,1.0
2009-12-10,1.001
2009-12-11,1.001
2009-12-14,1.002
2009-12-15,1.002
2009-12-16,0.999
2009-12-17,0.992
2009-12-18,0.989
2009-12-21,0.991
2009-12-22,0.987
2009-12-23,0.99
2009-12-24,0.994
2009-12-25,0.996
2009-12-28,0.999
2009-12-29,0.999
2009-12-30,1.001
2009-12-31,1.002
2010-01-04,1.003
2010-01-05,1.003
2010-01-06,1.002
2010-01-07,1.0
2010-01-08,1.001
2010-01-11,1.004
2010-01-12,1.008
2010-01-13,1.008
2010-01-14,1.013
2010-01-15,1.014
2010-01-18,1.017
2010-01-19,1.015
2010-01-20,1.006
2010-01-21,1.008
2010-01-22,1.002
2010-01-25,0.999
2010-01-26,0.995
2010-01-27,0.993
2010-01-28,0.996
2010-01-29,0.998
2010-02-01,0.996
2010-02-02,0.994
2010-02-03,0.995
2010-02-04,0.996
2010-02-05,0.994
2010-02-08,0.995
2010-02-09,0.996
2010-02-10,0.999
2010-02-11,1.0
2010-02-12,1.004
2010-02-22,1.001
2010-02-23,1.003
2010-02-24,1.008
2010-02-25,1.012
2010-02-26,1.014
2010-03-01,1.016
2010-03-02,1.017
2010-03-03,1.019
2010-03-04,1.012
2010-03-05,1.014
2010-03-08,1.015
2010-03-09,1.015
2010-03-10,1.012
2010-03-11,1.012
2010-03-12,1.01
2010-03-15,1.008
2010-03-16,1.01
2010-03-17,1.015
2010-03-18,1.014
2010-03-19,1.017
2010-03-22,1.017
2010-03-23,1.018
2010-03-24,1.02
2010-03-25,1.02
2010-03-26,1.021
2010-03-29,1.022
2010-03-30,1.023
2010-03-31,1.024
2010-04-01,1.027
2010-04-02,1.027
2010-04-06,1.027
2010-04-07,1.027
2010-04-08,1.027
2010-04-09,1.031
2010-04-12,1.032
2010-04-13,1.027
2010-04-14,1.029
2010-04-15,1.024
2010-04-16,1.025
2010-04-19,1.019
2010-04-20,1.021
2010-04-21,1.028
2010-04-22,1.033
2010-04-23,1.031
2010-04-26,1.032
2010-04-27,1.031
2010-04-28,1.03
2010-04-29,1.024
2010-04-30,1.024
2010-05-04,1.024
2010-05-05,1.03
2010-05-06,1.025
2010-05-07,1.022
2010-05-10,1.016
2010-05-11,1.013
2010-05-12,1.009
2010-05-13,1.013
2010-05-14,1.015
2010-05-17,1.007
2010-05-18,1.011
2010-05-19,1.016
2010-05-20,1.014
2010-05-21,1.022
2010-05-24,1.031
2010-05-25,1.029
2010-05-26,1.03
2010-05-27,1.033
2010-05-28,1.032
2010-05-31,1.028
2010-06-01,1.026
2010-06-02,1.028
2010-06-03,1.03
2010-06-04,1.032
2010-06-07,1.035
2010-06-08,1.037
2010-06-09,1.039
2010-06-10,1.041
2010-06-11,1.04
2010-06-17,1.035
2010-06-18,1.026
2010-06-21,1.03
2010-06-22,1.032
2010-06-23,1.034
2010-06-24,1.034
2010-06-25,1.031
2010-06-28,1.03
2010-06-29,1.026
2010-06-30,1.026
2010-07-01,1.024
2010-07-02,1.021
2010-07-05,1.022
2010-07-06,1.025
2010-07-07,1.026
2010-07-08,1.027
2010-07-09,1.031
2010-07-12,1.033
2010-07-13,1.032
2010-07-14,1.033
2010-07-15,1.031
2010-07-16,1.031
2010-07-19,1.035
2010-07-20,1.037
2010-07-21,1.038
2010-07-22,1.04
