date,close
20180620,4315.14
20180621,4276.18
20180622,4291.5
20180625,4252.13
20180626,4202.36
20180627,4151.27
20180628,4096.88
20180629,4187.02
20180702,4076.23
20180703,4082.47
20180704,4042.29
20180705,4003.21
20180706,4014.88
20180709,4108.55
20180710,4121.38
20180711,4052.95
20180712,4128.18
20180713,4133.14
20180716,4107.22
20180717,4079.33
20180718,4087.35
20180719,4081.91
20180720,4154.69
20180723,4195.71
20180724,4250.76
20180725,4244.13
20180726,4216.18
20180727,4201.06
20180730,4204.87
20180731,4207.78
20180801,4129.26
20180802,4046.94
20180803,3995.22
20180806,3943.29
20180807,4043.76
20180808,3988.71
20180809,4059.25
20180810,4049.15
20180813,4025.9
20180814,4023.04
20180815,3942.07
20180816,3919.1
20180817,3875.75
20180820,3912.0
20180821,3961.26
20180822,3935.27
20180823,3945.73
20180824,3956.01
20180827,4039.03
20180828,4034.72
20180829,4010.28
20180830,3990.23
20180831,3970.52
20180903,3960.53
20180904,3999.42
20180905,3934.87
20180906,3897.03
20180907,3910.13
20180910,3874.42
20180911,3865.67
20180912,3858.47
20180913,3893.64
20180914,3902.84
20180917,3866.85
20180918,3925.44
20180919,3980.15
20180920,3977.71
20180921,4082.45
20180925,4049.12
20180926,4076.53
20180927,4065.03
20180928,4108.73
20181008,3963.25
20181009,3954.86
20181010,3960.96
20181011,3770.54
20181012,3812.27
20181015,3737.97
20181016,3700.23
20181017,3728.17
20181018,3651.09
20181019,3752.42
20181022,3904.41
20181023,3812.22
20181024,3811.73
20181025,3821.6
20181026,3823.64
20181029,3729.13
20181030,3765.16
20181031,3808.41
20181101,3815.73
20181102,3916.03
20181105,3903.15
20181106,3894.79
20181107,3876.55
20181108,3871.18
20181109,3830.23
20181112,3891.64
20181113,3925.07
20181114,3893.83
20181115,3929.08
20181116,3957.74
20181119,3999.46
20181120,3911.21
20181121,3924.04
20181122,3911.12
20181123,3822.98
20181126,3822.08
20181127,3813.21
20181128,3855.17
20181129,3813.63
20181130,3846.95
20181203,3945.49
20181204,3957.12
20181205,3943.37
20181206,3879.01
20181207,3901.04
20181210,3864.74
20181211,3881.0
20181212,3907.65
20181213,3956.96
20181214,3898.88
20181217,3924.75
20181218,3896.49
20181219,3870.46
20181220,3867.28
20181221,3839.93
20181224,3867.24
20181225,3843.11
20181226,3841.53
20181227,3823.92
20181228,3836.87
20190102,3779.25
20190103,3756.76
20190104,3830.93
20190107,3883.36
20190108,3890.53
20190109,3923.41
20190110,3907.76
20190111,3923.14
20190114,3917.07
20190115,3954.31
20190116,3959.03
20190117,3950.54
20190118,3994.56
20190121,4000.72
20190122,3962.71
20190123,3979.63
20190124,3994.16
20190125,4013.57
20190128,4014.53
20190129,4025.02
20190130,4000.74
20190131,4012.07
20190201,4065.24
20190211,4127.0
20190212,4163.67
20190213,4216.61
20190214,4216.83
20190215,4159.94
20190218,4260.31
20190219,4255.22
20190220,4258.25
20190221,4230.38
20190222,4287.41
20190225,4470.26
20190226,4453.78
20190227,4444.22
20190228,4440.87
20190301,4502.03
20190304,4555.8
20190305,4608.02
20190306,4664.23
20190307,4658.76
20190308,4469.65
20190311,4562.26
20190312,4598.85
20190313,4557.1
20190314,4493.98
20190315,4574.03
20190318,4703.47
20190319,4679.07
20190320,4685.05
20190321,4705.45
20190322,4734.4
20190325,4662.45
20190326,4592.35
20190327,4659.77
20190328,4612.98
20190329,4742.96
20190401,4881.11
20190402,4885.61
20190403,4954.02
20190404,5021.84
20190408,5072.0
20190409,5066.94
20190410,5080.54
20190411,5018.39
20190412,4993.35
20190415,4940.22
20190416,5011.66
20190417,5032.02
20190418,4968.62
20190419,4993.68
20190422,4891.72
20190423,4854.26
20190424,4897.19
20190425,4769.56
20190426,4705.72
20190429,4672.43
20190430,4735.74
20190506,4475.77
20190507,4534.71
20190508,4471.7
20190509,4400.12
20190510,4521.11
20190513,4480.79
20190514,4455.79
20190515,4535.73
20190516,4556.43
20190517,4441.82
20190520,4406.03
20190521,4490.17
20190522,4460.1
20190523,4403.78
20190524,4399.02
20190527,4449.32
20190528,4489.73
20190529,4477.01
20190530,4468.9
20190531,4469.51
20190603,4425.71
20190604,4377.47
20190605,4358.39
20190606,4303.8
20190610,4341.99
20190611,4460.8
20190612,4417.0
20190613,4402.2
20190614,4357.24
20190617,4355.13
20190618,4350.51
20190619,4373.75
20190620,4446.14
20190621,4449.95
20190624,4465.89
20190625,4413.82
20190626,4416.46
20190627,4438.92
20190628,4406.91
20190701,4486.77
20190702,4511.87
20190703,4501.22
20190704,4491.01
20190705,4508.12
20190708,4391.99
20190709,4404.03
20190710,4367.02
20190711,4360.97
20190712,4374.95
20190715,4400.41
20190716,4399.2
20190717,4394.82
20190718,4330.78
20190719,4356.66
20190722,4303.89
20190723,4324.95
20190724,4348.96
20190725,4361.8
20190726,4372.99
20190729,4368.12
20190730,4393.86
20190731,4350.95
20190801,4320.21
20190802,4253.14
20190805,4184.16
20190806,4109.81
20190807,4099.14
20190808,4129.2
20190809,4091.69
20190812,4151.97
20190813,4117.79
20190814,4138.5
20190815,4146.78
20190816,4151.95
20190819,4232.76
20190820,4230.38
20190821,4222.68
20190822,4220.4
20190823,4229.05
20190826,4181.74
20190827,4236.44
20190828,4240.37
20190829,4219.56
20190830,4196.77
20190902,4257.87
20190903,4265.15
20190904,4319.4
20190905,4343.92
20190906,4373.76
20190909,4401.27
20190910,4381.25
20190911,4365.52
20190912,4393.29
20190916,4393.73
20190917,4320.94
20190918,4346.59
20190919,4355.53
20190920,4367.62
20190923,4310.0
20190924,4312.85
20190925,4255.69
20190926,4227.69
20190927,4217.0
20190930,4193.89
20191008,4225.82
20191009,4262.86
20191010,4287.32
20191011,4312.58
20191014,4360.78
20191015,4330.19
20191016,4312.49
20191017,4298.54
20191018,4241.19
20191021,4257.18
20191022,4276.56
20191023,4258.83
20191024,4265.68
20191025,4289.4
20191028,4311.23
20191029,4282.06
20191030,4246.29
20191031,4220.22
20191101,4273.98
20191104,4283.27
20191105,4301.95
20191106,4270.67
20191107,4283.19
20191108,4274.7
20191111,4197.01
20191112,4208.52
20191113,4188.02
20191114,4189.98
20191115,4146.26
20191118,4188.18
20191119,4232.61
20191120,4198.8
20191121,4195.59
20191122,4180.09
20191125,4235.13
20191126,4226.17
20191127,4204.76
20191128,4191.53
20191129,4183.41
20191202,4197.95
20191203,4214.65
20191204,4193.25
20191205,4212.48
20191206,4219.05
20191209,4237.1
20191210,4234.71
20191211,4261.17
20191212,4266.67
20191213,4306.34
20191216,4338.63
20191217,4372.29
20191218,4363.93
20191219,4369.59
20191220,4349.85
20191223,4295.55
20191224,4319.65
20191225,4313.73
20191226,4362.73
20191227,4354.55
20191230,4412.57
20191231,4440.59
20200102,4503.09
20200103,4501.64
20200106,4485.78
20200107,4522.22
20200108,4469.48
20200109,4525.87
20200110,4508.8
20200113,4540.44
20200114,4545.16
20200115,4521.73
20200116,4498.1
20200117,4500.0
20200120,4505.39
20200121,4422.56
20200122,4438.05
20200123,4318.04
20200203,3933.39
20200204,4015.71
20200205,4062.18
20200206,4113.11
20200207,4127.11
20200210,4189.89
20200211,4204.23
20200212,4231.0
20200213,4205.11
20200214,4236.91
20200217,4324.8
20200218,4333.75
20200219,4316.45
20200220,4377.59
20200221,4394.18
20200224,4363.6
20200225,4320.08
20200226,4318.04
20200227,4323.53
20200228,4189.41
20200302,4354.65
20200303,4353.84
20200304,4409.94
20200305,4464.61
20200306,4411.64
20200309,4274.94
20200310,4351.12
20200311,4313.09
20200312,4235.85
20200313,4169.4
20200316,4040.05
20200317,4025.37
20200318,3967.1
20200319,3927.06
20200320,3981.64
20200323,3866.57
20200324,3962.09
20200325,4044.26
20200326,4004.61
20200327,4033.94
20200330,3982.03
20200331,3975.14
20200401,3950.95
20200402,4005.22
20200403,3984.08
20200407,4057.71
20200408,4054.29
20200409,4065.45
20200410,4023.08
20200413,4012.59
20200414,4063.71
20200415,4041.39
20200416,4029.0
20200417,4040.92
20200420,4064.31
20200421,4039.7
20200422,4056.44
20200423,4043.86
20200424,4019.42
20200427,4042.99
20200428,4018.51
20200429,4053.95
20200430,4090.12
20200506,4094.2
20200507,4100.48
20200508,4132.81
20200511,4134.94
20200512,4121.51
20200513,4125.91
20200514,4082.37
20200515,4067.7
20200518,4064.58
20200519,4089.54
20200520,4057.07
20200521,4034.88
20200522,3965.22
20200525,3985.39
20200526,4016.35
20200527,4033.75
20200528,4026.0
20200529,4002.18
20200601,4082.19
20200602,4091.53
20200603,4091.71
20200604,4104.48
20200605,4088.89
20200608,4092.07
20200609,4107.68
20200610,4080.98
20200611,4043.16
20200612,4035.69
20200615,4001.99
20200616,4070.16
20200617,4076.77
20200618,4108.19
20200619,4115.03
20200622,4083.96
20200623,4083.41
20200624,4082.31
20200629,4060.8
20200630,4089.54
20200701,4162.95
20200702,4256.98
20200703,4298.95
20200706,4526.02
20200707,4503.78
20200708,4556.28
20200709,4592.61
20200710,4487.61
20200713,4608.96
20200714,4584.58
20200715,4498.99
20200716,4355.26
20200717,4378.35
20200720,4568.27
20200721,4558.65
20200722,4553.99
20200723,4499.98
20200724,4331.9
20200727,4320.27
20200728,4361.52
20200729,4433.82
20200730,4431.13
20200731,4468.9
20200803,4555.77
20200804,4568.55
20200805,4565.91
20200806,4564.09
20200807,4529.17
20200810,4587.98
20200811,4541.77
20200812,4513.0
20200813,4529.99
20200814,4563.88
20200817,4658.84
20200818,4666.23
20200819,4621.76
20200820,4586.65
20200821,4582.39
20200824,4608.75
20200825,4605.18
20200826,4528.43
20200827,4555.34
20200828,4635.48
20200831,4610.92
20200901,4619.73
20200902,4615.78
20200903,4608.7
20200904,4595.51
20200907,4542.95
20200908,4569.35
20200909,4500.09
20200910,4458.3
20200911,4476.86
20200914,4496.22
20200915,4516.89
20200916,4515.31
20200917,4532.7
20200918,4602.24
20200921,4574.17
20200922,4508.26
20200923,4514.73
20200924,4429.38
20200925,4403.59
20200928,4399.77
20200929,4417.63
20200930,4395.75
20201009,4492.47
20201012,4603.85
20201013,4612.96
20201014,4612.21
20201015,4593.67
20201016,4605.44
20201019,4572.35
20201020,4576.7
20201021,4561.58
20201022,4524.95
20201023,4488.64
20201026,4495.54
20201027,4479.05
20201028,4478.58
20201029,4502.06
20201030,4433.77
20201102,4476.99
20201103,4532.88
20201104,4558.12
20201105,4636.84
20201106,4644.21
20201109,4720.27
20201110,4705.11
20201111,4726.29
20201112,4752.84
20201113,4721.19
20201116,4819.83
20201117,4852.26
20201118,4870.9
20201119,4850.43
20201120,4875.34
20201123,4943.56
20201124,4924.32
20201125,4856.13
20201126,4837.0
20201127,4871.06
20201130,4817.82
20201201,4883.22
20201202,4891.28
20201203,4856.7
20201204,4849.95
20201207,4800.94
20201208,4786.76
20201209,4727.48
20201210,4735.41
20201211,4706.94
20201214,4674.22
20201215,4664.9
20201216,4645.77
20201217,4692.57
20201218,4713.29
20201221,4728.49
20201222,4620.27
20201223,4622.76
20201224,4580.11
20201225,4612.86
20201228,4582.14
20201229,4543.63
20201230,4562.0
20201231,4595.59
20210104,4611.31
20210105,4621.52
20210106,4632.2
20210107,4600.77
20210108,4614.18
20210111,4562.99
20210112,4600.21
20210113,4593.39
20210114,4576.91
20210115,4603.72
20210118,4638.68
20210119,4663.32
20210120,4656.54
20210121,4676.95
20210122,4626.21
20210125,4559.48
20210126,4530.27
20210127,4533.91
20210128,4469.68
20210129,4431.62
20210201,4482.1
