date,close
20050101,989.49
20050104,989.49
20050105,1008.87
20050106,997.88
20050107,1004.65
20050110,1015.71
20050111,1017.18
20050112,1013.88
20050113,1016.39
20050114,1001.81
20050117,972.12
20050118,985.75
20050119,977.28
20050120,959.54
20050121,981.14
20050124,1001.95
20050125,986.58
20050126,981.38
20050127,968.13
20050128,947.34
20050131,912.22
20050201,899.64
20050202,949.18
20050203,926.91
20050204,941.68
20050216,951.62
20050217,957.18
20050218,950.89
20050221,973.7
20050222,1005.75
20050223,1024.04
20050224,1025.4
20050225,1021.43
20050228,1015.18
20050301,1018.82
20050302,1000.24
20050303,1005.92
20050304,1001.37
20050307,1003.67
20050308,1029.5
20050309,1036.3
20050310,1008.72
20050311,1012.51
20050314,1001.15
20050315,988.94
20050316,978.57
20050317,960.33
20050318,948.84
20050321,957.0
20050322,925.84
20050323,920.65
20050324,932.05
20050325,923.75
20050328,914.16
20050329,906.08
20050330,873.04
20050331,882.54
20050401,914.6
20050404,893.17
20050405,884.84
20050406,900.35
20050407,916.89
20050408,935.37
20050411,936.03
20050412,908.38
20050413,931.78
20050414,920.83
20050415,890.63
20050418,871.72
20050419,868.55
20050420,851.54
20050421,838.94
20050422,820.13
20050425,809.37
20050426,826.92
20050427,806.1
20050428,828.61
20050429,817.26
20050509,788.54
20050510,788.64
20050511,784.74
20050512,785.06
20050513,795.58
20050516,795.33
20050517,803.41
20050518,807.25
20050519,808.15
20050520,802.67
20050523,772.28
20050524,789.5
20050525,795.3
20050526,785.93
20050527,781.29
20050530,790.77
20050531,790.82
20050601,774.33
20050602,771.94
20050603,777.54
20050606,786.15
20050607,786.58
20050608,847.36
20050609,857.99
20050610,837.35
20050613,845.29
20050614,824.7
20050615,809.21
20050616,820.77
20050617,816.23
20050620,843.98
20050621,840.03
20050622,845.77
20050623,831.4
20050624,835.33
20050627,862.12
20050628,847.64
20050629,840.92
20050630,817.72
20050701,778.71
20050704,764.93
20050705,758.53
20050706,757.78
20050707,759.33
20050708,731.99
20050711,725.52
20050712,753.36
20050713,742.72
20050714,743.17
20050715,721.26
20050718,697.15
20050719,707.18
20050720,710.76
20050721,708.99
20050722,725.99
20050725,724.97
20050726,739.64
20050727,752.88
20050728,754.65
20050729,751.64
20050801,755.87
20050802,772.4
20050803,781.87
20050804,778.71
20050805,802.41
20050808,814.07
20050809,826.83
20050810,838.99
20050811,851.68
20050812,838.3
20050815,869.3
20050816,879.87
20050817,907.63
20050818,876.31
20050819,875.32
20050822,884.46
20050823,869.59
20050824,882.87
20050825,898.34
20050826,898.75
20050829,891.59
20050830,881.27
20050831,900.71
20050901,922.92
20050902,936.3
20050905,947.35
20050906,915.24
20050907,944.98
20050908,950.32
20050909,939.07
20050912,947.48
20050913,971.04
20050914,983.45
20050915,985.55
20050916,986.0
20050919,1006.79
20050920,997.57
20050921,977.74
20050922,941.48
20050923,925.08
20050926,930.39
20050927,905.07
20050928,901.92
20050929,920.13
20050930,914.24
20051010,897.32
20051011,920.72
20051012,931.88
20051013,932.26
20051014,920.33
20051017,926.24
20051018,947.6
20051019,938.82
20051020,939.51
20051021,946.73
20051024,948.14
20051025,924.32
20051026,897.72
20051027,883.58
20051028,856.4
20051031,858.61
20051101,851.93
20051102,876.64
20051103,869.16
20051104,876.94
20051107,887.13
20051108,894.26
20051109,886.95
20051110,859.53
20051111,865.36
20051114,873.36
20051115,866.54
20051116,870.2
20051117,869.79
20051118,890.93
20051121,895.37
20051122,871.83
20051123,881.33
20051124,884.81
20051125,890.89
20051128,893.86
20051129,879.96
20051130,884.3
20051201,883.56
20051202,868.38
20051205,837.94
20051206,841.05
20051207,849.92
20051208,844.02
20051209,860.28
20051212,869.88
20051213,869.21
20051214,879.8
20051215,873.65
20051216,879.01
20051219,883.09
20051220,883.34
20051221,869.35
20051222,874.72
20051223,884.58
20051226,891.12
20051227,895.75
20051228,900.01
20051229,907.85
20051230,901.69
20060104,914.59
20060105,924.8
20060106,929.53
20060109,941.63
20060110,946.54
20060111,937.49
20060112,958.28
20060113,963.33
20060116,952.61
20060117,947.56
20060118,963.88
20060119,971.0
20060120,965.19
20060123,969.29
20060124,962.09
20060125,949.63
20060206,971.03
