date,close
20050101,984.4
20050104,984.4
20050105,997.13
20050106,987.53
20050107,989.61
20050110,998.97
20050111,1001.78
20050112,1001.3
20050113,1002.7
20050114,992.28
20050117,970.81
20050118,980.54
20050119,974.09
20050120,962.02
20050121,984.27
20050124,1001.43
20050125,997.72
20050126,988.75
20050127,973.29
20050128,962.25
20050131,941.3
20050201,937.55
20050202,987.94
20050203,972.19
20050204,992.61
20050216,1000.77
20050217,1001.13
20050218,987.64
20050221,1006.17
20050222,1029.04
20050223,1031.99
20050224,1034.49
20050225,1035.4
20050228,1030.37
20050301,1028.35
20050302,1013.53
20050303,1019.34
20050304,1013.95
20050307,1019.03
20050308,1038.9
20050309,1038.78
20050310,1013.8
20050311,1018.75
20050314,1019.3
20050315,1003.89
20050316,993.93
20050317,982.48
20050318,965.95
20050321,968.01
20050322,946.22
20050323,942.92
20050324,950.12
20050325,948.21
20050328,943.83
20050329,938.15
20050330,916.09
20050331,922.1
20050401,955.99
20050404,939.43
20050405,932.21
20050406,948.75
20050407,961.07
20050408,978.59
20050411,973.08
20050412,954.88
20050413,977.37
20050414,963.45
20050415,946.92
20050418,935.08
20050419,936.69
20050420,920.52
20050421,909.62
20050422,902.05
20050425,889.92
20050426,900.1
20050427,887.98
20050428,904.97
20050429,894.52
20050509,869.82
20050510,872.16
20050511,863.16
20050512,851.46
20050513,854.9
20050516,845.46
20050517,853.11
20050518,856.27
20050519,856.68
20050520,853.74
20050523,831.27
20050524,840.03
20050525,840.55
20050526,829.98
20050527,822.45
20050530,828.85
20050531,828.61
20050601,811.21
20050602,795.82
20050603,794.36
20050606,811.39
20050607,811.11
20050608,875.89
20050609,882.53
20050610,864.61
20050613,863.21
20050614,850.88
20050615,832.15
20050616,841.9
20050617,841.0
20050620,864.94
20050621,855.84
20050622,858.98
20050623,850.75
20050624,854.61
20050627,873.38
20050628,860.31
20050629,855.78
20050630,835.01
20050701,811.08
20050704,804.44
20050705,798.47
20050706,793.75
20050707,796.39
20050708,777.81
20050711,771.14
20050712,797.22
20050713,791.08
20050714,792.69
20050715,780.15
20050718,767.93
20050719,771.55
20050720,777.3
20050721,776.73
20050722,792.91
20050725,790.8
20050726,809.07
20050727,825.13
20050728,822.62
20050729,819.93
20050801,824.12
20050802,836.39
20050803,842.61
20050804,837.46
20050805,858.69
20050808,865.5
20050809,874.09
20050810,882.31
20050811,894.39
20050812,879.53
20050815,900.27
20050816,894.79
20050817,906.06
20050818,876.17
20050819,877.25
20050822,886.03
20050823,875.71
20050824,884.03
20050825,888.01
20050826,888.4
20050829,878.99
20050830,875.32
20050831,890.21
20050901,907.99
20050902,912.5
20050905,920.53
20050906,902.57
20050907,922.03
20050908,924.09
20050909,916.53
20050912,918.47
20050913,935.0
20050914,943.11
20050915,943.99
20050916,942.49
20050919,949.93
20050920,942.14
20050921,926.03
20050922,900.71
20050923,891.46
20050926,895.3
20050927,879.67
20050928,878.08
20050929,892.88
20050930,892.57
20051010,881.75
20051011,896.94
20051012,902.75
20051013,897.12
20051014,886.96
20051017,883.72
20051018,892.38
20051019,887.39
20051020,887.69
20051021,893.33
20051024,895.32
20051025,880.06
20051026,858.77
20051027,856.1
20051028,841.3
20051031,847.65
20051101,843.35
20051102,856.06
20051103,847.46
20051104,851.94
20051107,853.82
20051108,859.18
20051109,856.53
20051110,837.8
20051111,840.25
20051114,839.96
20051115,834.37
20051116,840.52
20051117,839.91
20051118,858.49
20051121,860.3
20051122,845.45
20051123,851.88
20051124,856.34
20051125,857.82
20051128,854.34
20051129,844.29
20051130,846.44
20051201,845.51
20051202,839.73
20051205,824.99
20051206,829.72
20051207,837.25
20051208,836.92
20051209,850.02
20051212,852.95
20051213,853.52
20051214,861.94
20051215,858.94
20051216,865.39
20051219,866.13
20051220,869.29
20051221,864.49
20051222,869.67
20051223,877.78
20051226,884.62
20051227,883.25
20051228,885.03
20051229,897.71
20051230,890.07
20060104,905.06
20060105,919.83
20060106,929.68
20060109,937.49
20060110,941.24
20060111,936.55
20060112,950.13
20060113,948.98
20060116,933.99
20060117,935.38
20060118,954.06
20060119,962.39
20060120,964.53
20060123,968.56
20060124,969.51
20060125,974.23
20060206,996.81
20060207,995.25
20060208,998.92
20060209,986.13
20060210,997.92
20060213,996.96
20060214,1004.39
20060215,1006.68
20060216,983.83
20060217,981.37
20060220,979.86
20060221,996.03
20060222,995.47
20060223,997.36
20060224,1005.37
20060227,1003.28
20060228,1006.79
20060301,1012.29
20060302,994.64
20060303,996.56
20060306,994.07
20060307,970.6
20060308,965.89
20060309,961.36
20060310,964.78
20060313,973.85
20060314,973.84
20060315,984.15
20060316,984.26
20060317,981.33
20060320,993.95
20060321,997.24
20060322,1005.59
20060323,1009.36
20060324,1003.33
20060327,1011.65
20060328,1017.91
20060329,1024.8
20060330,1015.9
20060331,1022.89
20060403,1042.54
20060404,1053.34
20060405,1063.44
20060406,1067.17
20060407,1072.53
20060410,1090.75
20060411,1095.65
20060412,1092.23
20060413,1066.1
20060414,1089.89
20060417,1096.16
20060418,1101.12
20060419,1106.59
20060420,1101.4
20060421,1113.57
20060424,1105.12
20060425,1106.26
20060426,1120.4
20060427,1122.5
20060428,1138.05
20060508,1181.24
20060509,1216.03
20060510,1233.23
20060511,1226.02
20060512,1268.46
20060515,1324.86
20060516,1294.07
20060517,1304.65
20060518,1306.92
20060519,1342.55
20060522,1354.73
20060523,1298.79
20060524,1286.26
20060525,1292.24
20060526,1317.06
20060529,1350.39
20060530,1367.01
20060531,1357.2
20060601,1400.12
20060602,1393.17
20060605,1411.26
20060606,1404.1
20060607,1319.87
20060608,1323.72
20060609,1292.89
20060612,1297.11
20060613,1300.82
20060614,1288.3
20060615,1290.97
20060616,1322.03
20060619,1338.51
20060620,1346.37
20060621,1342.82
20060622,1341.74
20060623,1353.01
20060626,1377.42
20060627,1380.59
20060628,1379.24
20060629,1408.86
20060630,1407.4
20060703,1432.89
20060704,1424.43
20060705,1409.36
20060706,1440.55
20060707,1436.17
20060710,1441.26
20060711,1450.38
20060712,1450.81
20060713,1367.74
20060714,1379.3
20060717,1398.2
20060718,1403.13
20060719,1368.22
20060720,1377.6
20060721,1386.99
20060724,1389.3
20060725,1407.4
20060726,1408.12
20060727,1392.13
20060728,1378.4
20060731,1325.83
20060801,1311.86
20060802,1304.13
20060803,1301.54
20060804,1266.03
20060807,1242.8
20060808,1275.23
20060809,1275.37
20060810,1296.62
20060811,1301.55
20060814,1267.95
20060815,1290.05
20060816,1309.52
20060817,1298.82
20060818,1293.08
20060821,1297.69
20060822,1312.37
20060823,1310.94
20060824,1319.54
20060825,1322.96
20060828,1354.91
20060829,1358.07
20060830,1365.28
20060831,1371.83
20060901,1348.84
20060904,1371.84
20060905,1375.52
20060906,1381.86
20060907,1362.17
20060908,1365.23
20060911,1372.31
20060912,1379.21
20060913,1366.1
20060914,1366.49
20060915,1387.22
20060918,1403.6
20060919,1407.46
20060920,1409.8
20060921,1417.24
20060922,1404.66
20060925,1404.87
20060926,1394.08
20060927,1407.43
20060928,1421.85
20060929,1437.58
20061009,1468.44
20061010,1472.52
20061011,1473.0
20061012,1459.59
20061013,1464.97
20061016,1454.55
20061017,1451.51
20061018,1473.24
20061019,1477.69
20061020,1474.5
20061023,1436.17
20061024,1469.84
20061025,1470.61
20061026,1472.84
20061027,1452.27
20061030,1455.78
20061031,1472.59
20061101,1484.39
20061102,1483.6
20061103,1491.2
20061106,1500.11
20061107,1499.42
20061108,1486.9
20061109,1509.6
20061110,1481.99
20061113,1444.98
20061114,1461.57
20061115,1496.02
20061116,1486.12
20061117,1509.55
20061120,1525.91
20061121,1542.1
20061122,1557.58
20061123,1567.09
20061124,1576.15
20061127,1598.74
20061128,1596.84
20061129,1617.99
20061130,1657.32
20061201,1670.33
20061204,1713.69
20061205,1727.45
20061206,1708.94
20061207,1699.79
20061208,1637.37
20061211,1704.13
20061212,1712.9
20061213,1716.25
20061214,1746.26
20061215,1775.02
20061218,1816.34
20061219,1821.17
20061220,1842.88
