date,nav
20030528,1.0427
20030529,1.0439
20030530,1.046
20030602,1.0463
20030603,1.0438
20030604,1.0462
20030605,1.0435
20030606,1.0404
20030609,1.0382
20030610,1.0398
20030611,1.0443
20030612,1.0438
20030613,1.0444
20030616,1.0421
20030617,1.0392
20030618,1.0383
20030619,1.0344
20030620,1.0334
20030623,1.031
20030624,1.0314
20030625,1.0297
20030626,1.0304
20030627,1.0284
20030630,1.0289
20030701,1.0302
20030702,1.0327
20030703,1.0341
20030704,1.0347
20030707,1.0368
20030708,1.0371
20030709,1.0363
20030710,1.0422
20030711,1.0417
20030714,1.0419
20030715,1.0423
20030716,1.0441
20030717,1.0474
20030718,1.0418
20030721,1.042
20030722,1.0414
20030723,1.0413
20030724,1.0406
20030725,1.0382
20030728,1.0375
20030729,1.0389
20030730,1.0402
20030731,1.0403
20030801,1.0411
20030804,1.0433
20030805,1.0434
20030806,1.0414
20030807,1.0412
20030808,1.0389
20030811,1.0374
20030812,1.0394
20030813,1.0363
20030814,1.0337
20030815,1.0331
20030818,1.034
20030819,1.035
20030820,1.0333
20030821,1.0323
20030822,1.0319
20030825,1.0286
20030826,1.0282
20030827,1.0284
20030828,1.0277
20030829,1.0298
20030901,1.0343
20030902,1.0337
20030903,1.0324
20030904,1.0312
20030905,1.028
20030908,1.0271
20030909,1.0246
20030910,1.0245
20030911,1.0252
20030912,1.0253
20030915,1.0232
20030916,1.0232
20030917,1.0197
20030918,1.0196
20030919,1.0197
20030922,1.0175
20030923,1.0169
20030924,1.0158
20030925,1.0134
20030926,1.0138
20030929,1.0115
20030930,1.0148
20031008,1.0156
20031009,1.0158
20031010,1.0205
20031013,1.0182
20031014,1.0171
20031015,1.0153
20031016,1.012
20031017,1.0131
20031020,1.0119
20031021,1.014
20031022,1.022
20031023,1.0198
20031024,1.0207
20031027,1.02
20031028,1.0228
20031029,1.0256
20031030,1.0241
20031031,1.0235
20031103,1.0283
20031104,1.0359
20031105,1.0356
20031106,1.0351
20031107,1.0299
20031110,1.0324
20031111,1.0303
20031112,1.0259
20031113,1.0251
20031114,1.0266
20031117,1.0252
20031118,1.0255
20031119,1.0274
20031120,1.0311
20031121,1.0298
20031124,1.0368
20031125,1.036
20031126,1.0374
20031127,1.0348
20031128,1.0373
20031201,1.0455
20031202,1.0465
20031203,1.0503
20031204,1.0509
20031205,1.0516
20031208,1.0481
20031209,1.0503
20031210,1.0565
20031211,1.0556
20031212,1.055
20031215,1.056
20031216,1.0566
20031217,1.0534
20031218,1.0583
20031219,1.0617
20031222,1.0723
20031223,1.0757
20031224,1.0821
20031225,1.0809
20031226,1.0794
20031229,1.0753
20031230,1.08
20031231,1.0754
20040102,1.081
20040105,1.1007
20040106,1.1037
20040107,1.1064
20040108,1.1125
20040109,1.1051
20040112,1.1163
20040113,1.1115
20040114,1.1053
20040115,1.1027
20040116,1.1053
20040129,1.1106
20040130,1.1004
20040202,1.1096
20040203,1.1133
20040204,1.1225
20040205,1.1197
20040206,1.1152
20040209,1.1197
20040210,1.1152
20040211,1.1113
20040212,1.1039
20040213,1.1065
20040216,1.1136
20040217,1.1167
20040218,1.1204
20040219,1.1184
20040220,1.1186
20040223,1.1082
20040224,1.113
20040225,1.1073
20040226,1.1119
20040227,1.1152
20040301,1.1166
20040302,1.114
20040303,1.111
20040304,1.1125
20040305,1.1113
20040308,1.1079
20040309,1.1093
20040310,1.119
20040311,1.1227
20040312,1.1247
20040315,1.1342
20040316,1.1355
20040317,1.1374
20040318,1.1303
20040319,1.1356
20040322,1.1346
20040323,1.1292
20040324,1.1311
20040325,1.1321
20040326,1.1318
20040329,1.1289
20040330,1.1283
20040331,1.1326
20040401,1.138
20040402,1.1432
20040405,1.1417
20040406,1.143
20040407,1.1421
20040408,1.1406
20040409,1.131
20040412,1.1292
20040413,1.1275
20040414,1.124
20040415,1.1207
20040416,1.1262
20040419,1.123
20040420,1.1204
20040421,1.1173
20040422,1.1188
20040423,1.1162
20040426,1.1183
20040427,1.1161
20040428,1.1107
20040429,1.1
20040430,1.107
20040510,1.1008
20040511,1.1004
20040512,1.1075
20040513,1.1068
20040514,1.1003
20040517,1.0945
20040518,1.0917
20040519,1.0942
20040520,1.0932
20040521,1.0966
20040524,1.0965
