净值日期,累计净值
2009-06-10,1.0
2009-06-12,1.0
2009-06-19,1.0
2009-06-26,1.0
2009-06-30,1.0
2009-07-03,1.0
2009-07-09,1.001
2009-07-10,1.001
2009-07-13,1.001
2009-07-14,1.001
2009-07-15,1.001
2009-07-16,1.001
2009-07-17,1.001
2009-07-20,1.001
2009-07-21,1.001
2009-07-22,1.001
2009-07-23,1.001
2009-07-24,1.001
2009-07-27,1.001
2009-07-28,1.001
2009-07-29,0.999
2009-07-30,1.001
2009-07-31,1.003
2009-08-03,1.003
2009-08-04,1.001
2009-08-05,1.001
2009-08-06,1.0
2009-08-07,0.999
2009-08-10,0.999
2009-08-11,1.0
2009-08-12,0.997
2009-08-13,0.996
2009-08-14,0.992
2009-08-17,0.989
2009-08-18,0.989
2009-08-19,0.986
2009-08-20,0.989
2009-08-21,0.99
2009-08-24,0.99
2009-08-25,0.986
2009-08-26,0.987
2009-08-27,0.987
2009-08-28,0.984
2009-08-31,0.982
2009-09-01,0.983
2009-09-02,0.984
2009-09-03,0.986
2009-09-04,0.986
2009-09-07,0.986
2009-09-08,0.987
2009-09-09,0.987
2009-09-10,0.986
2009-09-11,0.987
2009-09-14,0.989
2009-09-15,0.99
2009-09-16,0.989
2009-09-17,0.99
2009-09-18,0.987
2009-09-21,0.987
2009-09-22,0.985
2009-09-23,0.984
2009-09-24,0.983
2009-09-25,0.982
2009-09-28,0.982
2009-09-29,0.981
2009-09-30,0.981
2009-10-09,0.982
2009-10-12,0.982
2009-10-13,0.982
2009-10-14,0.984
2009-10-15,0.983
2009-10-16,0.982
2009-10-19,0.982
2009-10-20,0.982
2009-10-21,0.982
2009-10-22,0.981
2009-10-23,0.981
2009-10-26,0.981
2009-10-27,0.981
2009-10-28,0.981
2009-10-29,0.981
2009-10-30,0.981
2009-11-02,0.982
2009-11-03,0.983
2009-11-04,0.983
2009-11-05,0.983
2009-11-06,0.984
2009-11-09,0.985
2009-11-10,0.985
2009-11-11,0.986
2009-11-12,0.986
2009-11-13,0.986
2009-11-16,0.987
2009-11-17,0.987
2009-11-18,0.988
2009-11-19,0.99
2009-11-20,0.991
2009-11-23,0.991
2009-11-24,0.988
2009-11-25,0.99
2009-11-26,0.989
2009-11-27,0.988
2009-11-30,0.991
2009-12-01,0.993
2009-12-02,0.994
2009-12-03,0.994
2009-12-04,0.993
2009-12-07,0.993
2009-12-08,0.993
2009-12-09,0.993
2009-12-10,0.993
2009-12-11,0.993
2009-12-14,0.993
2009-12-15,0.993
2009-12-16,0.993
2009-12-17,0.992
2009-12-18,0.992
2009-12-21,0.993
2009-12-22,0.993
2009-12-23,0.993
2009-12-24,0.994
2009-12-25,0.995
2009-12-28,0.996
2009-12-29,0.999
2009-12-30,1.001
2009-12-31,1.002
2010-01-04,1.003
2010-01-05,1.002
2010-01-06,1.002
2010-01-07,1.003
2010-01-08,1.003
2010-01-11,1.004
2010-01-12,1.005
2010-01-13,1.006
2010-01-14,1.008
2010-01-15,1.009
2010-01-18,1.011
2010-01-19,1.011
2010-01-20,1.011
2010-01-21,1.013
2010-01-22,1.014
2010-01-25,1.015
2010-01-26,1.015
2010-01-27,1.017
2010-01-28,1.018
2010-01-29,1.018
2010-02-01,1.021
2010-02-02,1.021
2010-02-03,1.021
2010-02-04,1.021
2010-02-05,1.021
2010-02-08,1.022
2010-02-09,1.022
2010-02-10,1.022
2010-02-11,1.022
2010-02-12,1.023
2010-02-22,1.023
2010-02-23,1.022
2010-02-24,1.023
2010-02-25,1.023
2010-02-26,1.024
2010-03-01,1.025
2010-03-02,1.026
2010-03-03,1.027
2010-03-04,1.026
2010-03-05,1.028
2010-03-08,1.029
2010-03-09,1.028
2010-03-10,1.028
2010-03-11,1.03
2010-03-12,1.029
2010-03-15,1.029
2010-03-16,1.029
2010-03-17,1.031
2010-03-18,1.032
2010-03-19,1.033
2010-03-22,1.035
2010-03-23,1.035
2010-03-24,1.035
2010-03-25,1.035
2010-03-26,1.037
2010-03-29,1.043
2010-03-30,1.042
2010-03-31,1.043
2010-04-01,1.045
2010-04-02,1.046
2010-04-06,1.045
2010-04-07,1.045
2010-04-08,1.045
2010-04-09,1.048
2010-04-12,1.047
2010-04-13,1.046
2010-04-14,1.047
2010-04-15,1.046
2010-04-16,1.046
2010-04-19,1.046
2010-04-20,1.047
2010-04-21,1.048
2010-04-22,1.05
2010-04-23,1.051
2010-04-26,1.051
2010-04-27,1.05
2010-04-28,1.05
2010-04-29,1.053
2010-04-30,1.054
2010-05-04,1.054
2010-05-05,1.055
2010-05-06,1.055
2010-05-07,1.055
2010-05-10,1.056
2010-05-11,1.058
2010-05-12,1.058
2010-05-13,1.057
2010-05-14,1.059
2010-05-17,1.06
2010-05-18,1.059
2010-05-19,1.06
2010-05-20,1.061
2010-05-21,1.061
2010-05-24,1.063
2010-05-25,1.064
2010-05-26,1.064
2010-05-27,1.065
2010-05-28,1.065
2010-05-31,1.063
2010-06-01,1.062
2010-06-02,1.065
2010-06-03,1.064
2010-06-04,1.062
2010-06-07,1.063
2010-06-08,1.064
2010-06-09,1.064
2010-06-10,1.065
2010-06-11,1.065
2010-06-17,1.065
2010-06-18,1.061
2010-06-21,1.062
2010-06-22,1.063
2010-06-23,1.063
2010-06-24,1.063
2010-06-25,1.062
2010-06-28,1.063
2010-06-29,1.06
2010-06-30,1.06
2010-07-01,1.059
2010-07-02,1.061
2010-07-05,1.06
2010-07-06,1.062
2010-07-07,1.064
2010-07-08,1.065
2010-07-09,1.069
2010-07-12,1.07
2010-07-13,1.069
2010-07-14,1.071
2010-07-15,1.069
2010-07-16,1.07
2010-07-19,1.073
2010-07-20,1.075
2010-07-21,1.077
2010-07-22,1.078
