date,nav
20090826,1.0
20090828,0.998
20090904,1.005
20090911,1.016
20090915,1.019
20090916,1.014
20090917,1.018
20090918,1.009
20090921,1.007
20090922,1.0
20090923,0.996
20090924,1.0
20090925,0.998
20090928,0.99
20090929,0.992
20090930,0.994
20091009,1.009
20091012,1.007
20091013,1.012
20091014,1.016
20091015,1.017
20091016,1.018
20091019,1.028
20091020,1.035
20091021,1.034
20091022,1.031
20091023,1.04
20091026,1.04
20091027,1.025
20091028,1.026
20091029,1.013
20091030,1.019
20091102,1.039
20091103,1.046
20091104,1.05
20091105,1.052
20091106,1.055
20091109,1.058
20091110,1.06
20091111,1.058
20091112,1.058
20091113,1.062
20091116,1.088
20091117,1.088
20091118,1.089
20091119,1.091
20091120,1.087
20091123,1.095
20091124,1.066
20091125,1.087
20091126,1.048
20091127,1.019
20091130,1.055
20091201,1.069
20091202,1.079
20091203,1.077
20091204,1.092
20091207,1.1
20091208,1.087
20091209,1.067
20091210,1.073
20091211,1.072
20091214,1.083
20091215,1.075
20091216,1.068
20091217,1.045
20091218,1.02
20091221,1.022
20091222,0.996
20091223,1.004
20091224,1.033
20091225,1.029
20091228,1.044
20091229,1.051
20091230,1.067
20091231,1.072
20100104,1.06
20100105,1.068
20100106,1.062
20100107,1.042
20100108,1.044
20100111,1.045
20100112,1.06
20100113,1.028
20100114,1.041
20100115,1.045
20100118,1.05
20100119,1.052
20100120,1.02
20100121,1.024
20100122,1.012
20100125,1.0
20100126,0.977
20100127,0.964
20100128,0.966
20100129,0.966
20100201,0.951
20100202,0.949
20100203,0.973
20100204,0.97
20100205,0.951
20100208,0.95
20100209,0.956
20100210,0.968
20100211,0.97
20100212,0.979
20100222,0.973
20100223,0.963
20100224,0.976
20100225,0.99
20100226,0.987
20100301,0.999
20100302,0.995
20100303,1.002
20100304,0.978
20100305,0.981
20100308,0.988
20100309,0.994
20100310,0.986
20100311,0.985
20100312,0.973
20100315,0.959
20100316,0.965
20100317,0.985
20100318,0.983
20100319,0.99
