date,close
20050101,989.49
20050104,989.49
20050105,1008.87
20050106,997.88
20050107,1004.65
20050110,1015.71
20050111,1017.18
20050112,1013.88
20050113,1016.39
20050114,1001.81
20050117,972.12
20050118,985.75
20050119,977.28
20050120,959.54
20050121,981.14
20050124,1001.95
20050125,986.58
20050126,981.38
20050127,968.13
20050128,947.34
20050131,912.22
20050201,899.64
20050202,949.18
20050203,926.91
20050204,941.68
20050216,951.62
20050217,957.18
20050218,950.89
20050221,973.7
20050222,1005.75
20050223,1024.04
20050224,1025.4
20050225,1021.43
20050228,1015.18
20050301,1018.82
20050302,1000.24
20050303,1005.92
20050304,1001.37
20050307,1003.67
20050308,1029.5
20050309,1036.3
20050310,1008.72
20050311,1012.51
20050314,1001.15
20050315,988.94
20050316,978.57
20050317,960.33
20050318,948.84
20050321,957.0
20050322,925.84
20050323,920.65
20050324,932.05
20050325,923.75
20050328,914.16
20050329,906.08
20050330,873.04
20050331,882.54
20050401,914.6
20050404,893.17
20050405,884.84
20050406,900.35
20050407,916.89
20050408,935.37
20050411,936.03
20050412,908.38
20050413,932.35
20050414,921.39
20050415,891.18
20050418,872.25
20050419,869.08
20050420,852.06
20050421,839.46
20050422,820.64
20050425,809.86
20050426,827.42
20050427,806.59
20050428,829.12
20050429,817.76
20050509,789.02
20050510,789.12
20050511,785.23
20050512,785.54
20050513,796.07
20050516,796.13
20050517,804.22
20050518,808.06
20050519,808.96
20050520,803.47
20050523,773.6
20050524,790.85
20050525,796.66
20050526,787.27
20050527,783.15
20050530,792.97
20050531,794.39
20050601,777.83
20050602,775.43
20050603,781.39
20050606,790.35
20050607,790.78
20050608,851.88
20050609,862.67
20050610,842.75
20050613,850.74
20050614,830.02
20050615,814.43
20050616,827.17
20050617,822.6
20050620,850.56
20050621,846.72
20050622,853.84
20050623,839.51
20050624,843.48
20050627,870.87
20050628,856.24
20050629,850.41
20050630,826.95
20050701,787.5
20050704,774.2
20050705,767.72
20050706,767.11
20050707,769.3
20050708,741.61
20050711,735.05
20050712,763.42
20050713,752.64
20050714,753.1
20050715,730.89
20050718,707.17
20050719,717.34
20050720,720.98
20050721,719.19
20050722,737.34
20050725,736.3
20050726,751.2
20050727,764.65
20050728,766.45
20050729,763.38
20050801,767.68
20050802,784.47
20050803,794.09
20050804,790.87
20050805,814.95
20050808,826.8
20050809,839.75
20050810,852.1
20050811,864.99
20050812,851.4
20050815,882.88
20050816,893.61
20050817,921.81
20050818,890.01
20050819,889.0
20050822,898.28
20050823,883.18
20050824,896.66
20050825,912.38
20050826,912.8
20050829,905.52
20050830,895.04
20050831,914.78
20050901,937.34
20050902,950.93
20050905,962.15
20050906,929.54
20050907,959.74
20050908,965.17
20050909,953.75
20050912,962.29
20050913,986.21
20050914,998.82
20050915,1000.95
20050916,1001.41
20050919,1022.52
20050920,1013.16
20050921,993.02
20050922,956.19
20050923,939.54
20050926,944.93
20050927,919.22
20050928,916.02
20050929,934.51
20050930,928.52
20051010,911.34
20051011,935.11
20051012,946.44
20051013,946.83
20051014,934.71
20051017,940.71
20051018,962.4
20051019,953.49
20051020,954.19
20051021,961.52
20051024,962.96
20051025,938.76
20051026,911.75
20051027,897.39
20051028,869.78
20051031,872.02
20051101,865.24
20051102,890.34
20051103,882.74
20051104,890.64
20051107,901.0
20051108,908.23
20051109,900.81
20051110,872.97
20051111,878.89
20051114,887.0
20051115,880.08
20051116,883.8
20051117,883.38
20051118,904.85
20051121,909.36
20051122,885.45
20051123,895.1
20051124,898.64
20051125,904.81
20051128,907.83
20051129,893.72
20051130,898.11
20051201,897.37
20051202,881.95
20051205,851.03
20051206,854.2
20051207,863.2
20051208,857.21
20051209,873.72
20051212,883.47
20051213,882.79
20051214,893.55
20051215,887.3
20051216,892.74
20051219,896.88
20051220,897.15
20051221,882.93
20051222,888.39
20051223,898.4
20051226,905.04
20051227,909.75
20051228,914.08
20051229,922.04
20051230,915.78
20060104,928.88
20060105,939.25
20060106,944.06
20060109,956.35
20060110,961.33
20060111,952.14
20060112,973.26
20060113,978.38
20060116,967.5
20060117,962.37
20060118,978.95
20060119,986.18
20060120,980.27
20060123,984.44
20060124,977.13
20060125,964.47
