date,close
20050104,861.9958
20050105,867.8566
20050106,858.829
20050107,860.627
20050110,869.8089
20050111,872.3875
20050112,872.7026
20050113,872.0372
20050114,864.2994
20050117,846.012
20050118,852.865
20050119,846.9263
20050120,838.4024
20050121,859.4001
20050124,873.5718
20050125,873.4038
20050126,867.6302
20050127,855.4362
20050128,848.9583
20050131,836.8427
20050201,835.4056
20050202,878.317
20050203,867.1843
20050204,888.811
20050216,895.5199
20050217,892.1795
20050218,879.59
20050221,896.9156
20050222,916.5343
20050223,917.5444
20050224,920.25
20050225,922.201
20050228,915.2389
20050301,911.9115
20050302,897.9557
20050303,903.5625
20050304,899.1994
20050307,904.5426
20050308,922.6882
20050309,923.9701
20050310,904.343
20050311,909.3854
20050314,914.4532
20050315,899.4965
20050316,889.5687
20050317,879.3357
20050318,866.4301
20050321,870.057
20050322,855.0966
20050323,852.928
20050324,856.789
20050325,855.536
20050328,853.8898
20050329,849.7226
20050330,831.2233
20050331,836.735
20050401,867.9574
20050404,852.9701
20050405,846.5301
20050406,862.8896
20050407,872.1449
20050408,887.7198
20050411,880.9496
20050412,865.4586
20050413,885.9548
20050414,874.9751
20050415,863.4106
20050418,853.3768
20050419,853.3814
20050420,842.0031
20050421,837.4729
20050422,833.6413
20050425,824.5839
20050426,831.2361
20050427,821.345
20050428,833.7333
20050429,823.5442
20050509,802.8066
20050510,802.5887
20050511,792.2377
20050512,777.2632
20050513,779.8272
20050516,770.2187
20050517,777.0455
20050518,777.1598
20050519,778.7028
20050520,777.7181
20050523,759.6515
20050524,763.6714
20050525,763.9368
20050526,754.4681
20050527,747.2563
20050530,751.7266
20050531,753.3449
20050601,737.4783
20050602,721.2824
20050603,721.749
20050606,740.7725
20050607,739.2773
20050608,800.2492
20050609,802.319
20050610,786.7983
20050613,783.3913
20050614,774.8029
20050615,759.4156
20050616,771.6892
20050617,771.924
20050620,793.5132
20050621,785.7087
20050622,789.3132
20050623,784.5164
20050624,787.6257
20050627,803.269
20050628,793.4214
20050629,789.9585
20050630,773.9701
20050701,758.6475
20050704,756.8658
20050705,751.1053
20050706,745.8352
20050707,747.5404
20050708,734.8673
20050711,729.6294
20050712,754.4195
20050713,749.9123
20050714,751.9865
20050715,743.7431
20050718,736.9036
20050719,739.3589
20050720,745.6235
20050721,746.5373
20050722,757.4819
20050725,753.9769
20050726,770.0435
20050727,784.5112
20050728,784.0485
20050729,781.9088
20050801,785.4052
20050802,796.0828
